dim,soft_layer_1,soft_layer_3,soft_layer_6,soft_layer_9,soft_layer_12,hard_selected_layer
134,0.22745752334594727,0.21293649077415466,0.19814357161521912,0.16732600331306458,0.19413639605045319,12
135,0.19897352159023285,0.2234983593225479,0.16191664338111877,0.18355122208595276,0.2320602536201477,6
136,0.2535383403301239,0.2069079577922821,0.17574584484100342,0.1502249389886856,0.21358291804790497,3
137,0.18529660999774933,0.2236691415309906,0.21535873413085938,0.1973084807395935,0.17836706340312958,9
138,0.22938445210456848,0.19837982952594757,0.17848344147205353,0.18332163989543915,0.21043063700199127,1
139,0.1859150379896164,0.1931963711977005,0.21029217541217804,0.21025845408439636,0.20033793151378632,12
140,0.2565666437149048,0.22720147669315338,0.15599742531776428,0.19353830814361572,0.16669610142707825,1
141,0.21214596927165985,0.20663079619407654,0.17894503474235535,0.22227415442466736,0.1800040453672409,9
142,0.19821062684059143,0.18750493228435516,0.21959270536899567,0.1941269040107727,0.20056477189064026,6
143,0.2305571585893631,0.20684757828712463,0.1939762830734253,0.17194192111492157,0.1966770738363266,9
144,0.19767074286937714,0.21565189957618713,0.2140592336654663,0.18153654038906097,0.19108153879642487,3
145,0.19487501680850983,0.21753814816474915,0.18407593667507172,0.20630644261837006,0.19720441102981567,6
146,0.2382337898015976,0.20883378386497498,0.1855163872241974,0.17582130432128906,0.1915947049856186,6
147,0.197087362408638,0.21561431884765625,0.20287474989891052,0.201706662774086,0.18271686136722565,6
148,0.21719326078891754,0.22920839488506317,0.18062645196914673,0.17019318044185638,0.20277872681617737,3
149,0.22443202137947083,0.20737037062644958,0.171107217669487,0.20437787473201752,0.19271256029605865,1
150,0.19135437905788422,0.21104948222637177,0.18628792464733124,0.2057642936706543,0.2055439054965973,12
151,0.1641494780778885,0.21108126640319824,0.16582421958446503,0.25800830125808716,0.20093674957752228,3
152,0.17745272815227509,0.21731825172901154,0.20627254247665405,0.20958644151687622,0.18936996161937714,6
153,0.18846911191940308,0.20824742317199707,0.1855546087026596,0.18324564397335052,0.23448313772678375,3
154,0.20174233615398407,0.2348184734582901,0.1674792319536209,0.1799992024898529,0.21596072614192963,1
155,0.16584788262844086,0.17824606597423553,0.23263521492481232,0.20742061734199524,0.21585018932819366,9
156,0.24486751854419708,0.17780591547489166,0.19944904744625092,0.1957971751689911,0.18208032846450806,1
157,0.18722577393054962,0.192453533411026,0.208110973238945,0.23052461445331573,0.18168506026268005,9
158,0.1892886608839035,0.21888412535190582,0.1864720582962036,0.1937863528728485,0.21156884729862213,6
159,0.18182922899723053,0.1605224609375,0.2342032790184021,0.23123709857463837,0.1922079175710678,12
